,source_name,source_hex,delta_r,delta_g,delta_b,target_name,target_hex
115,lightsalmon,#FFA07A,0,-33,-42,coral,#FF7F50
116,coral,#FF7F50,0,-58,-80,orangered,#FF4500
117,orangered,#FF4500,-22,81,122,darksalmon,#E9967A
118,darksalmon,#E9967A,22,-51,-51,tomato,#FF6347
119,tomato,#FF6347,-5,29,43,salmon,#FA8072
120,salmon,#FA8072,5,100,111,mistyrose,#FFE4E1
121,mistyrose,#FFE4E1,-15,-100,-97,lightcoral,#F08080
122,lightcoral,#F08080,15,122,122,snow,#FFFAFA
123,snow,#FFFAFA,-67,-107,-107,rosybrown,#BC8F8F
124,rosybrown,#BC8F8F,17,-51,-51,indianred,#CD5C5C
125,indianred,#CD5C5C,50,-92,-92,red*,#FF0000
126,red*,#FF0000,-90,42,42,brown,#A52A2A
127,brown,#A52A2A,13,-8,-8,firebrick,#B22222
128,firebrick,#B22222,-39,-34,-34,darkred,#8B0000
129,darkred,#8B0000,-11,0,0,maroon*,#800000
130,maroon*,#800000,127,255,255,white*,#FFFFFF
131,white*,#FFFFFF,-10,-10,-10,whitesmoke,#F5F5F5
132,whitesmoke,#F5F5F5,-25,-25,-25,gainsboro,#DCDCDC
133,gainsboro,#DCDCDC,-9,-9,-9,lightgrey,#D3D3D3
134,lightgrey,#D3D3D3,-19,-19,-19,silver*,#C0C0C0
135,silver*,#C0C0C0,-23,-23,-23,darkgray,#A9A9A9
136,darkgray,#A9A9A9,-41,-41,-41,gray*,#808080
137,gray*,#808080,-23,-23,-23,dimgray,#696969
138,dimgray,#696969,-105,-105,-105,black*,#000000
