latitude,longitude,name,species_code,scientific_name,common_name,height,diameter,information,location,island_abbv,island_name,base,tmk,circumference,id
19.47,-154.97,"20,141,131",MEPO5,Metrosideros polymorpha,'Ohi'a Lehua,N/A,,No access due to current lava situation as of March 2015,"Kaneohe Homesteads, Pahoa",B,Hawaii,,15001056,N/A,1181
19.72,-155.11,"20,141,125",MEPO5,Metrosideros polymorpha,'Ohi'a Lehua,25,11.5,Off of the path up to the waterfall.,"Rainbow Falls Park, Hilo",B,Hawaii,,230270001,,1177
19.72,-155.09,"20,141,118",FIRE3,Ficus religiosa,Bodhi/Peepul Tree,70,114.6,,Old Riverside School,B,Hawaii,,23015001,30,1173
