latitude,longitude,name,species_code,scientific_name,common_name,height,diameter,information,location,island_abbv,island_name,base,tmk,circumference,id
21.32,-157.86,"20,140,596",MIEL,Mimusops elengi,Pogada,62.5,N/A,Surrounded by cacti. Not able to obtain circumference.,"Foster Botanical Garden, 180 N. Vineyard Blvd.",O,Oahu,,17007002,N/A,613
21.49,-158.03,"20,140,597",MIEL,Mimusops elengi,Pogada,26-35,13.5-31,,"Curtis Lp., outlining parking lot and along west side of Leilehua Rd.",O,Oahu,Wheeler,77001001,,614
21.32,-157.86,"20,140,582",LASP,Lagerstroemia speciosa,Queen's Crape Myrtle,63,38.5,,"Foster Botanical Garden, 180 N. Vineyard Blvd.",O,Oahu,,17007002,10.1,599
21.31,-157.86,"20,140,015",AGRO,Agathis robusta,Queensland Kauri,62,63.1,"No Plaque. Unique ""pot-holed"" appearance in the bark.","Judiciary Bldg., 417 S. King (Downtown)",O,Oahu,,21025003,16.5,16
21.33,-157.81,"20,140,016",AGRO,Agathis robusta,Queensland Kauri,N/A,N/A,Near marker 1M. Not accessible due to excessive vegetation.,"Harold L. Lyon Arboretum, 3860 Manoa Rd.",O,Oahu,,29055006,N/A,17
21.32,-157.86,"20,140,105",BDL OTHER,Cavanillesia platanifolia,Quipo,85,N/A,Surrounding vegetation did not allow for the circumference to be obtained.,"Foster Botanical Garden, 180 N. Vineyard Blvd.",O,Oahu,,17007002,N/A,114
21.32,-157.86,"20,140,101",CANE33,Cassia x nealiae,Rainbow Shower,53,40.5,,"Foster Botanical Garden, 180 N. Vineyard Blvd.",O,Oahu,,17007002,10.6,106
21.4,-157.8,"20,140,100",CASSI,Cassia roxburghii,Red Cassia,21.5,21,Anoi & Uhilehua crossroads.,"45-647 Anoi Rd., Kaneohe",O,Oahu,,45081015,5.6,105
21.49,-158.06,"20,140,203",EUCA1,Eucalyptus camaldulensis,Red River Gum,70-107,23-56,Crown spread not obtainable due to street.,"Kolekole Ave., Fournier Ave to Hewitt St., lining golf course",O,Oahu,Schofield,77001001,,214
21.32,-157.86,"20,140,672",RO9,Roystonea oleracea,Royal Caribbean Palm,115,26.4,,"Foster Botanical Garden, 180 N. Vineyard Blvd.",O,Oahu,,17007002,6.9,694
21.36,-157.76,"20,140,677",RORE,Roystonea regia,Royal Palm,65-75,19-26,Northwest side of path near old bathhouse.,"Castle Ranch, 1385 Maunawili Rd., Kailua",O,Oahu,,42009001,5.0-6.10,701
21.49,-158.03,"20,140,707",RORE,Roystonea regia,Royal Palm,52-64,20.5-24,,White Ash alternating with Royal Palms on both sides of Sperry and Langley Lp.,O,Oahu,Schofield,77001001,,733
21.31,-157.82,"20,140,576",HUCR,Hura crepitans,Sandbox Tree,59,61.1,2365 Oahu Ave.,2365 Oahu Ave. (Manoa),O,Oahu,,29005006,16,593
21.28,-157.76,"20,140,579",KIPI,Kigelia africana,Sausage Tree,40,47.8,Beside steam and tennis courts.,"Coast Guard Station, Kalanianaole Hwy",O,Oahu,,35046013,12.5,596
21.4,-157.73,"20,140,580",KIPI,Kigelia africana,Sausage Tree,33.5,N/A,Inside private property grounds. Not accessible to obtain circumference.,"115 Kuukama St., Kailua",O,Oahu,,43014007,N/A,597
21.33,-157.8,"20,140,113",PEM OTHER,Cyrtostachys renda,Sealing Wax Palm,33,4.6,Right off the main path near the parking lot.,"Harold L. Lyon Arboretum, 3860 Manoa Rd.",O,Oahu,,29005006,1.2,120
21.31,-157.85,"20,140,644",PLOB2,Plumeria obtusa,Singapore Plumeria,N/A,N/A,"Private Property. Access not granted, unable to gather data.",902-B Prospect St. (Makiki),O,Oahu,,22004048,N/A,665
21.3,-157.82,"20,140,873",STFO2,Sterculia foetida,Skunk /Java Olive,24.5,36.3,Planted by: Liberty Hyde Bailey in 1928- Horticulturist and Botanist.,"University of Hawaii - Manoa, George Hall",O,Oahu,,28023003,9.5,910
21.31,-157.85,"20,140,872",STFO2,Sterculia foetida,Skunk/Java Olive,N/A,N/A,"Unable to access property, as a result, no data could be obtained.","Tennet Family Foundation, 203 Prospect St.",O,Oahu,,22003076,,909
21.49,-158.05,"20,140,874",STFO2,Sterculia foetida,Skunk/Java Olive,55,53,,"Schofield Barracks, 225 General Loop",O,Oahu,Schofield,77001001,,911
21.49,-158.05,"20,140,260",EURO,Eucalyptus robusta,Swamp Mahogany,47-85,15.5-36,,"Schoffield Barracks, Wilikina Dr.",O,Oahu,Schofield,77001001,,273
21.33,-157.85,"20,140,883",TAIN,Tamarindus indica,Tamarind,45,61.6,Located on private property directly off of Robinson Lane.,52 Robinson Lane (Nuuanu),O,Oahu,,18003002,16.1,920
21.31,-157.86,"20,140,884",TAIN,Tamarindus indica,Tamarind,N/A,N/A,,"Judiciary Bldg., 417 S. King (Downtown)",O,Oahu,,21025003,,921
21.31,-157.86,"20,141,159",TAIN,Tamarindus indica,Tamarind Tree,N/A,N/A,On Washington Place Property. Cannot get data.,Washington Place,O,Oahu,,2-1-018:001,N/A,1211
21.32,-157.86,"20,140,659",BEL OTHER,Pterygota alata,Tattele,118,N/A,In maintenance area. Not accessible to the general public.,"Foster Botanical Garden, 180 N. Vineyard Blvd.",O,Oahu,,17007002,N/A,679
21.31,-157.85,"20,140,863",SCBR,Schotia brachypetala,Tree Fuchsia,N/A,N/A,"Unable to access property, as a result, no data could be obtained.","Tennet Family Foundation, 203 Prospect St.",O,Oahu,,22003076,,898
21.31,-157.84,"20,140,394",FIBE,Ficus benjamina,Weeping Fig,64,89.4,No Plaque,"Roosevelt High School, 1120 Nehoa",O,Oahu,,24032001,23.4,408
21.29,-157.84,"20,140,487",FIBE,Ficus benjamina,Weeping Fig,20-36.5,14.9-48.2,A row along each side of the pathway.,Ala Wai Canal,O,Oahu,,23036036,3.9-12.6,500
21.32,-157.8,"20,141,169",FIBE,Ficus benjamina,Weeping Fig,100,108,Private Property,,O,Oahu,,,9,1221
21.3,-157.84,"20,140,573",GUUL,Guazuma ulmifolia,West Indian Elm,40,35,,"Dept. of Agricultuture, 1428 S. King. St.",O,Oahu,,24005018,9.2,590
21.49,-158.03,"20,140,491",FRAM,Fraxinus americana,White Ash,56-65,36.5-44,,White Ash alternating with Royal Palms on both sides of Sperry and Langley Lp.,O,Oahu,Wheeler,77001001,,506
21.49,-158.06,"20,140,583",LAPA,Lagunaria patersonii,White Wood,64.5,40,,"West of Glennan St., between Bldg 687 & 688 Whitewood",O,Oahu,Schofield,77001001,,600
21.29,-157.68,"20,140,146",ERSA11,Erythrina sandwicensis,Wiliwili,6.7-15.1,93.6-129.9,10 minute hike along the garden's main trail.,Koko Crater Botanical Garden,O,Oahu,,39012001,24.5-34,155
21.63,0,"20,141,177",ERSA11,Erythrina sandwicensis,Wiliwili,29.5-42,11-22.5,,,O,Oahu,,,2.10-5.9,1224
21.31,-157.81,"20,141,161",PIHO,Pittosporum hosmeri,Ho`awa,14.5,47,Private Property,Cooke Estate,O,Oahu,,,12.4,1213
21.27,-157.82,"20,141,142",FIBE2,Ficus benghalensis,Indian Banyan,58,146.7,,Queen's Surf Beach- Kalakaua Ave,O,Oahu,,31030003,49,1193
21.38,-157.75,"20,141,158",ALSA,Albizia saman,Monkeypod,60,84.4,Women's Community Correctional Facility Front Lawn,,O,Oahu,,,22.11,1210
21.31,-157.81,"20,141,163",LASP,Lagerstroemia speciosa,Queen's Crape Myrtle,63,45,Private Property,Cooke Estate,O,Oahu,,,12,1215
21.31,-157.82,"20,141,162",TADO2,Roseodendron donnell-smithii,Gold Tree,60,32,Private Property,Cooke Estate,O,Oahu,,,8.7,1214
21.17,-156.92,"20,141,148",PRHI,Pritchardia hillebrandii,Loulu Lelo Palm,N/A,N/A,On an island off of the coast.,Huelo Island,O,Oahu,,,N/A,1200
21.64,-158.05,"20,141,175",ALSA,Albizia Saman,Monkeypod,67,108,,Waimea Valley,,,,,9,1222
